date,month,quarter,season,doy,global_lux,direct_lux,diffuse_lux,pressure,snow,temp,temp_max,temp_min,ts,dew_point,wind_speed,wind_direction,uv_index,albedo,optical_depth_55,optical_depth_84,clearness,precip,humidity_specific,humidity_relative,cloud_amt,cloud_depth,water
2012-10-15,Oct,4,Fall,289,44983.66,91149.96,12669.18,99.01,0,14.43,20.63,8.95,14.28,10.11,1.33,283.38,1.11,0.15,0.12,0.08,0.73,0.09,7.87,78.06,8.73,1.51,1.35
2012-10-16,Oct,4,Fall,290,42236.38,59195.56,17358.28,98.87,0,14.42,22.24,6.65,14.12,9.42,1.14,158.5,1,0.16,0.11,0.07,0.71,0.01,7.63,74.38,38.39,2.48,1.89
2012-10-17,Oct,4,Fall,291,39926.23,61247.62,16481.11,98.25,0,16.43,22.23,10.78,16.16,11.07,2.95,177.12,0.97,0.14,0.16,0.1,0.71,1.89,8.36,72.81,37.42,4.58,2.08
2012-10-18,Oct,4,Fall,292,41793.34,85029.4,10124.72,98.25,0,13.63,19.48,8.16,13.36,7.65,2.05,237.38,1.02,0.16,0.16,0.1,0.76,14.82,6.84,71.5,32.81,3.32,1.34
2012-10-19,Oct,4,Fall,293,20904.87,19800.12,13129.45,98.26,0,11.41,17.66,7.02,11.21,5.52,1.98,255.25,0.54,0.15,0.1,0.06,0.72,0.02,5.74,69.44,71.12,14.53,1.43
2012-10-20,Oct,4,Fall,294,24072.69,17540.96,17985.29,98.87,0,11.09,17.38,4.96,10.54,6.94,1.13,233.19,0.66,0.15,0.11,0.07,0.7,0,6.29,77.25,59.77,NA,1.76
2012-10-21,Oct,4,Fall,295,43811.96,92041.38,8424.11,99.38,0,14.8,23.21,6.93,14.58,10.08,1.34,169.44,1.05,0.15,0.12,0.08,0.71,0,7.87,75.56,7.33,4.52,2.11
2012-10-22,Oct,4,Fall,296,37844.92,73258.19,12633.69,99.54,0,17.94,25.26,13.8,17.61,12.31,1.44,183.31,1.01,0.15,0.19,0.12,0.69,0,9.03,71.19,28.14,3.05,2.34
2012-10-23,Oct,4,Fall,297,39841.81,78777.34,13362.65,99.39,0,16.99,24.69,11.87,16.67,12.09,1.55,182.69,1.05,0.13,0.16,0.1,0.71,0,8.91,75,20.82,NA,1.65
2012-10-24,Oct,4,Fall,298,43029.09,90979.88,7874.02,99.39,0,16.65,24.9,10.16,16.25,11.6,1.17,175.62,1.09,0.16,0.07,0.05,0.72,0,8.67,74.5,1.49,NA,1.71
2012-10-25,Oct,4,Fall,299,37297.71,66193.77,14254.14,99.17,0,17.54,24.65,11.94,17.19,14.27,1.45,176.94,0.98,0.14,0.13,0.09,0.69,0,10.31,82.75,20.1,NA,1.91
2012-10-26,Oct,4,Fall,300,16251.34,7357.42,13418.13,99.33,0,11.44,14.17,7.42,11.64,9.61,2.16,276.62,0.53,0.14,0.51,0.33,0.61,1.59,7.63,88.88,77.98,15.55,2.67
2012-10-27,Oct,4,Fall,301,12126.08,5744.66,10029.46,99.26,0,8.69,12.2,5.68,8.87,5.12,2.88,109.12,0.42,0.13,0.19,0.12,0.69,0.82,5.55,79.19,92.66,15.86,1.46
2012-10-28,Oct,4,Fall,302,34983.58,49223.82,16151.91,99.23,0,8.11,13.66,3.36,8.3,1.05,3.12,274.94,0.87,0.14,0.1,0.07,0.72,0.01,4.15,62.75,54.13,5.95,0.98
2012-10-29,Oct,4,Fall,303,42376.03,91920.01,7349.77,99.22,0,6.02,11.83,0.5,6.12,-1.75,3.11,331,0.8,0.16,0.04,0.02,0.76,0,3.36,60.88,27.56,NA,0.64
2012-10-30,Oct,4,Fall,304,31461.88,16100.97,24264.62,98.56,0,5.98,10.74,1.83,5.72,-2.6,3.02,309.75,0.66,0.14,0.05,0.03,0.75,0,3.17,55.81,83.73,2.08,0.66
2012-10-31,Oct,4,Fall,305,41391.2,92346.22,7189.59,98.78,0,5.48,13.84,-0.58,5.32,-2.05,1.71,294.5,0.78,0.16,0.03,0.02,0.76,0.02,3.3,63.69,15.07,NA,0.57
